date,price,last_sale_price_in _hour,average_price,sd_of_purchase_prices_in_hour,sd_of _sale_prices_in_hour,number_of_trades,number_of_buys,number_of_sales,number_of_announcements,order_flow,change_price,log_price
23/05/96 16:00,1.5405,1.5404,1.54045,0.735413716,0.904031375,356,153,-203,3,-50,-0.000713799,-0.000309999
23/05/96 17:00,1.54,1.5402,1.5401,0.546268332,0.575970854,246,109,-137,2,-28,-0.000324623,-0.000140982
23/05/96 18:00,1.5421,1.5422,1.54215,1.195794398,1.269096553,125,73,-52,0,21,0.001362707,0.000591816
24/05/96 6:00,1.5406,1.5406,1.5406,0.7,0.922250213,37,7,-30,1,-23,-0.000973173,-0.000422644
24/05/96 7:00,1.5411,1.541,1.54105,0.828690095,0.398862018,72,28,-44,1,-16,0.000324496,0.000140927
24/05/96 8:00,1.5416,1.5413,1.54145,0.939535669,0.308834564,139,55,-84,4,-29,0.000324391,0.000140881
24/05/96 9:00,1.5417,1.5422,1.54195,0.277979725,0.372033723,216,102,-114,1,-12,6.49E-05,2.81708E-05
24/05/96 10:00,1.5412,1.5418,1.5415,0.223606798,0.634548276,130,60,-70,1,-10,-0.00032437,-0.000140872
24/05/96 11:00,1.542,1.5416,1.5418,0.377692355,0.320037877,217,105,-112,0,-7,0.000518941,0.000225373
24/05/96 12:00,1.5421,1.5421,1.5421,0.738702794,0.555686853,118,64,-54,4,10,6.48E-05,2.81635E-05
24/05/96 13:00,1.5437,1.5434,1.54355,0.353167485,0.501739399,226,139,-87,3,52,0.001037008,0.000450367
24/05/96 14:00,1.543,1.5432,1.5431,0.620056205,0.422833157,238,149,-89,1,60,-0.000453559,-0.000196978
24/05/96 15:00,1.545,1.5433,1.54415,0.65064071,0.49443877,227,130,-97,0,33,0.001295337,0.000562558
24/05/96 16:00,1.5413,1.5415,1.5414,0.575970854,0.693912928,194,87,-107,1,-20,-0.002397694,-0.001041305
24/05/96 17:00,1.5438,1.5436,1.5437,1.37113092,0.801277389,120,54,-66,1,-12,0.001620693,0.000703858
24/05/96 18:00,1.5445,1.5442,1.54435,0.416619045,0.29336088,51,27,-24,0,3,0.000453324,0.000196876
